equipment_id,equipment_name,equipment_type,production_line_id,ideal_cycle_time_seconds,location,installation_date
MCH001,Decide Machine Q-1,Assemblage,LINE_D,19,West Rachelhaven,16/12/2020 14:30
MCH002,Lay Machine A-2,Peinture,LINE_A,15,West Leahside,16/08/2022 23:20
MCH003,Only Machine N-3,Usinage,LINE_C,16,Bethchester,27/03/2021 15:18
MCH004,Read Machine W-4,Controle,LINE_D,12,Amandaport,28/08/2020 09:26
MCH005,Author Machine M-5,Controle,LINE_D,23,East Ricky,10/11/2021 09:53
MCH006,None Machine N-6,Assemblage,LINE_B,19,South Larryton,30/11/2020 04:34
MCH007,Child Machine L-7,Peinture,LINE_B,17,Cookhaven,10/11/2022 19:26
MCH008,Big Machine L-8,Controle,LINE_A,12,West Danielleshire,31/05/2022 12:00
MCH009,Agent Machine V-9,Usinage,LINE_C,8,North Jesse,29/09/2022 19:12
MCH010,Way Machine F-10,Peinture,LINE_C,16,Jeffreyville,13/03/2022 04:15
